OBJECTID_1,ADMINISTRA,UNIDAD_FIS,NOM_DPTO,NOM_PROV,NOM_DIST,UF_nombre,geometry_wkt
77,PVEP PERU SUCURSAL PERUANA,Lote 162,NA,NA,NA,Lote 162,"POLYGON ((-74.15714138190218 -8.117375551833312, -74.23391866690504 -8.117375551833312, -74.23391866690504 -8.006746399222882, -74.32558609202968 -8.007296793016964, -74.32558609202968 -7.963815683284506, -74.50519840724849 -7.964366077078588, -74.51171284355176 -7.975924346754304, -74.56662023525078 -7.967118046048997, -74.58337164288777 -8.003994430252472, -74.59314329734268 -8.004544824046555, -74.57825315722091 -7.926388905286947, -74.6494466396781 -7.956110170167362, -74.69923554571027 -7.901070790759187, -74.73227304410544 -7.8438298361746845, -74.76019205683374 -7.848232986527339, -74.7732209294403 -7.8251164471759065, -74.76251864122779 -7.7904416381487565, -74.82254451859365 -7.738154227710989, -74.91142004244546 -7.738154227710989, -74.91142004244546 -8.215896040973945, -74.45540950121634 -8.215345647179863, -74.45447886745872 -8.639148868622808, -74.27300528472469 -8.638598474828726, -74.27300528472469 -8.503201601484617, -73.93797713198492 -8.502651207690535, -73.93890776574253 -8.214244859591702, -74.15667606502338 -8.214795253385782, -74.15714138190218 -8.117375551833312))"
40,NOREX ENERGIA S.A.,Lote Z-35,NA,NA,NA,Lote Z-35,"POLYGON ((-78.82147777504574 -9.092673354946168, -78.82240840880334 -9.00240877271676, -79.00388199153738 -9.003509560304924, -79.00481262529499 -8.836189846904073, -79.0052779421738 -8.777297710937326, -78.91454115080678 -8.776747317143244, -78.91500646768559 -8.691986672854656, -78.91547178456439 -8.60502445338974, -79.00620857593141 -8.60557484718382, -79.00620857593141 -8.604474059595658, -79.09694536729843 -8.603373272007495, -79.09508409978321 -8.46302285451665, -79.18768215866545 -8.461922066928487, -79.18721684178664 -8.597869334066678, -79.36869042452068 -8.598419727860758, -79.36869042452068 -8.669420527297305, -79.48781154549482 -8.669970921091387, -79.487346228616 -8.80041425028876, -79.487346228616 -8.825181971022438, -79.5496986903759 -8.825181971022438, -79.5483027397395 -9.197798569615781, -79.49851383370734 -9.197248175821699, -79.49804851682853 -9.262745037317426, -79.45523936397845 -9.262194643523344, -79.45477404709965 -9.327141111224991, -79.41754869679522 -9.327141111224991, -79.21513585451495 -9.326040323636828, -79.21606648827256 -9.094874930122494, -78.89313657438174 -9.093223748740249, -78.82147777504574 -9.092673354946168))"
93,NOREX ENERGIA S.A.,Lote Z-69 (Ex Lote Z-2B),ZOCALO CONTINENTAL (PIURA),PAITA/TALARA/PIURA,VARIOS,Lote Z-69 (Ex Lote Z-2B),"POLYGON ((-81.3667611021103 -5.109473467176571, -81.31464561168413 -5.109473467176571, -81.27602431074328 -5.07755062711983, -81.27602431074328 -5.064341176061868, -81.26253012125794 -5.064341176061868, -81.26253012125794 -5.018658491153083, -81.22716603846874 -5.018658491153083, -81.18714878689148 -4.99554195180165, -81.12246974073757 -4.99554195180165, -81.08524439043315 -4.971324624862053, -81.08710565794837 -4.968022262097563, -81.09362009425165 -4.959766355186336, -81.09827326303969 -4.954262417245518, -81.10944086813102 -4.942704147569803, -81.11455935379787 -4.937750603423066, -81.11781657194952 -4.933347453070413, -81.12386569137398 -4.928944302717758, -81.13596393022291 -4.916285245453878, -81.142943683405 -4.9080293385426526, -81.14899280282947 -4.897021462661018, -81.1513193872235 -4.890967130926118, -81.15364597161752 -4.887664768161628, -81.15690318976915 -4.883812011603055, -81.15876445728438 -4.881060042632646, -81.16434825983004 -4.873904923309583, -81.16807079486048 -4.8684009853687655, -81.17737713243658 -4.8557419281048855, -81.1797037168306 -4.85354035292856, -81.18528751937627 -4.846935627399578, -81.20390019452847 -4.846935627399578, -81.20390019452847 -4.883261617808973, -81.22204755280188 -4.883261617808973, -81.22204755280188 -4.90747894474857, -81.24019491107529 -4.90747894474857, -81.24019491107529 -4.928393908923676, -81.26346075501554 -4.928393908923676, -81.28207343016776 -4.99554195180165, -81.31045775977488 -4.994991558007568, -81.38444314350491 -5.039023061534108, -81.38444314350491 -5.109473467176571, -81.3667611021103 -5.109473467176571))"
97,PERENCO PERU PETROLEUM LIMITED SUCURSAL DEL PERU,Lote 39,LORETO,MAYNAS/LORETO,TIGRE/NAPO,Lote 39,"POLYGON ((-75.42559519352523 -2.0036012871732787, -75.44606913619265 -1.983787110586336, -75.47538409955737 -1.983787110586336, -75.50097652789167 -1.9936941988798065, -75.53029149125639 -2.0690981486690063, -75.53029149125639 -2.1411997356937142, -75.5126094498618 -2.1665178502214744, -75.4767800501938 -2.1665178502214744, -75.43304026358611 -2.1334942225765694, -75.40651720149421 -2.169269819191884, -75.36789590055338 -2.1698202129859663, -75.33206650088538 -2.1417501294877965, -75.31764167764241 -2.0839587811092137, -75.32136421267285 -1.983787110586336, -75.33765030343103 -1.9595697836467387, -75.40000276519093 -2.038826489994509, -75.42559519352523 -2.038826489994509, -75.42559519352523 -2.0036012871732787))"
82,SAPET DEVELOPMENT PERU INC SUCURSAL PERU,Lote 111,NA,NA,NA,Lote 111,"POLYGON ((-69.09263247298614 -12.837002336084286, -68.97165008449679 -12.667481047507108, -68.72735872312404 -12.667481047507108, -68.72735872312404 -12.663628290948536, -68.72456682185121 -12.661426715772208, -68.72037896994196 -12.661426715772208, -68.71758706866913 -12.65922514059588, -68.71851770242674 -12.657573959213636, -68.7241015049724 -12.657023565419554, -68.72735872312404 -12.657573959213636, -68.72875467376045 -12.65922514059588, -68.72875467376045 -12.663077897154453, -68.73015062439687 -12.66527947233078, -68.7320118919121 -12.664729078536698, -68.7329425256697 -12.663077897154453, -68.73433847630612 -12.657573959213636, -68.73573442694253 -12.654821990243228, -68.73433847630612 -12.652070021272818, -68.73061594127567 -12.649868446096491, -68.72968530751807 -12.648767658508328, -68.73154657503329 -12.642162932979348, -68.7338731594273 -12.637759782626693, -68.73899164509417 -12.632255844685876, -68.73945696197298 -12.63060466330363, -68.73713037757895 -12.626201512950978, -68.7329425256697 -12.62124796880424, -68.7329425256697 -12.61794560603975, -68.73154657503329 -12.61464324327526, -68.73154657503329 -12.609139305334443, -68.73061594127567 -12.606937730158116, -68.72875467376045 -12.60528654877587, -68.7241015049724 -12.603084973599543, -68.7236361880936 -12.59923221704097, -68.72084428682076 -12.59923221704097, -68.71851770242674 -12.600883398423216, -68.71479516739629 -12.60198418601138, -68.71293389988108 -12.600333004629135, -68.71153794924466 -12.598131429452808, -68.71153794924466 -12.59262749151199, -68.71014199860825 -12.5893251287475, -68.70781541421422 -12.58602276598301, -68.70362756230497 -12.583821190806683, -68.70130097791095 -12.581619615630355, -68.70037034415333 -12.576666071483618, -68.69804375975932 -12.5772164652777, -68.6971131260017 -12.5832707970126, -68.69571717536527 -12.584921978394846, -68.69339059097126 -12.583821190806683, -68.69106400657724 -12.57996843424811, -68.69199464033484 -12.5772164652777, -68.69432122472887 -12.576115677689538, -68.69804375975932 -12.57061173974872, -68.6975784428805 -12.567859770778313, -68.69571717536527 -12.565658195601983, -68.69245995721364 -12.562355832837493, -68.69013337281962 -12.559053470073003, -68.69013337281962 -12.55465031972035, -68.68873742218321 -12.552999138338105, -68.68454957027396 -12.55189835074994, -68.67710450021308 -12.551347956955858, -68.67338196518263 -12.549146381779533, -68.6710553807886 -12.53868889969198, -68.67291664830383 -12.53318496175116, -68.67291664830383 -12.528231417604426, -68.67524323269785 -12.524929054839935, -68.6789657677283 -12.523828267251773, -68.68036171836471 -12.522177085869526, -68.67803513397068 -12.5199755106932, -68.67477791581905 -12.5199755106932, -68.67198601454622 -12.521626692075445, -68.66919411327339 -12.521626692075445, -68.66454094448534 -12.521076298281363, -68.66221436009131 -12.522177085869526, -68.65988777569729 -12.52658023622218, -68.66035309257609 -12.530432992780753, -68.65942245881847 -12.532084174162998, -68.65756119130326 -12.53263456795708, -68.65430397315161 -12.530983386574835, -68.6529080225152 -12.527681023810345, -68.65337333939401 -12.522727479663608, -68.65476929003043 -12.5199755106932, -68.65895714193967 -12.51667314792871, -68.65895714193967 -12.5139211789583, -68.65756119130326 -12.512269997576055, -68.6529080225152 -12.5078668472234, -68.65197738875759 -12.505114878252993, -68.65104675499998 -12.500161334106256, -68.65151207187878 -12.496858971341766, -68.920930544707 -11.99655101252146, -68.93675131858639 -11.967380141435127, -68.95071082495055 -11.940961239319202, -68.96839286634514 -11.90903839926246, -68.99817314658867 -11.855650201236532, -69.10240412744105 -11.676221824365882, -69.21826803026354 -11.496793447495234, -69.32668686302516 -11.329473734094382, -69.49792347442549 -11.062532743964736, -69.55841466867017 -10.967865011382676, -69.561206569943 -10.96291146723594, -69.5607412530642 -10.960709892059613, -69.56260252057942 -10.960159498265531, -69.56306783745822 -10.957957923089204, -69.5616718868218 -10.955756347912878, -69.56632505560985 -10.95355477273655, -69.56585973873105 -10.951353197560223, -69.56818632312508 -10.949151622383896, -69.56679037248865 -10.947500441001651, -69.56772100624627 -10.94419807823716, -69.57190885815552 -10.946950047207569, -69.57283949191313 -10.946399653413486, -69.57144354127671 -10.942546896854916, -69.57423544254954 -10.938694140296343, -69.57981924509521 -10.937042958914098, -69.58540304764087 -10.937042958914098, -69.58586836451967 -10.938694140296343, -69.58214582948924 -10.941446109266753, -69.58074987885281 -10.942546896854916, -69.58214582948924 -10.944748472031243, -69.58540304764087 -10.942546896854916, -69.5877296320349 -10.941996503060833, -69.59052153330772 -10.942546896854916, -69.59470938521697 -10.938694140296343, -69.5965706527322 -10.938143746502263, -69.59982787088383 -10.939794927884506, -69.60773825782351 -10.942546896854916, -69.60959952533874 -10.945298865825325, -69.61006484221754 -10.949151622383896, -69.60773825782351 -10.952453985148388, -69.60866889158113 -10.954105166530631, -69.61053015909636 -10.95355477273655, -69.61425269412679 -10.947500441001651, -69.61564864476321 -10.946399653413486, -69.61983649667246 -10.946399653413486, -69.62169776418767 -10.947500441001651, -69.6240243485817 -10.949702016177978, -69.62728156673334 -10.951353197560223, -69.63146941864258 -10.954105166530631, -69.63612258743063 -10.953004378942468, -69.64310234061271 -10.950802803766141, -69.65194336131002 -10.948601228589816, -69.65659653009807 -10.949151622383896, -69.6584577976133 -10.949702016177978, -69.66124969888612 -10.953004378942468, -69.66404160015895 -10.955205954118796, -69.66636818455298 -10.958508316883286, -69.67195198709864 -10.95630674170696, -69.67427857149266 -10.95630674170696, -69.67939705715952 -10.957957923089204, -69.685446176584 -10.961260285853694, -69.68916871161443 -10.960159498265531, -69.69428719728128 -10.965113042412266, -69.6952178310389 -10.968415405176756, -69.69754441543293 -10.967865011382676, -69.69754441543293 -10.962361073441858, -69.69940568294815 -10.961810679647776, -69.70405885173619 -10.965113042412266, -69.70778138676664 -10.969516192764921, -69.70964265428186 -10.971167374147166, -69.71429582306992 -10.972268161735329, -69.71662240746394 -10.970616980353086, -69.71662240746394 -10.966764223794513, -69.71848367497915 -10.962361073441858, -69.7208102593732 -10.961260285853694, -69.72546342816125 -10.96621383000043, -69.73383913197974 -10.970616980353086, -69.73616571637376 -10.971717767941248, -69.73849230076779 -10.970616980353086, -69.7394229345254 -10.966764223794513, -69.73756166701017 -10.962361073441858, -69.73895761764659 -10.960709892059613, -69.74314546955584 -10.957957923089204, -69.74454142019225 -10.95630674170696, -69.74454142019225 -10.95355477273655, -69.74500673707107 -10.950802803766141, -69.7491945889803 -10.948050834795733, -69.75012522273792 -10.945849259619406, -69.75477839152597 -10.941446109266753, -69.7575702927988 -10.937042958914098, -69.76036219407163 -10.935942171325934, -69.76175814470805 -10.938143746502263, -69.76315409534446 -10.938694140296343, -69.76920321476894 -10.93759335270818, -69.77199511604177 -10.935391777531853, -69.76966853164774 -10.930988627179199, -69.76641131349609 -10.929337445796953, -69.76641131349609 -10.927686264414708, -69.76920321476894 -10.926585476826546, -69.77339106667817 -10.930988627179199, -69.77618296795102 -10.932089414767361, -69.77944018610265 -10.93153902097328, -69.7831627211331 -10.927686264414708, -69.78688525616353 -10.926035083032463, -69.79246905870919 -10.930438233385118, -69.79572627686083 -10.928787052002871, -69.79851817813366 -10.923283114062055, -69.80503261443694 -10.923283114062055, -69.80968578322498 -10.922732720267973, -69.8110817338614 -10.925484689238381, -69.81480426889185 -10.927135870620628, -69.8194574376799 -10.928236658208789, -69.82178402207393 -10.930438233385118, -69.83062504277122 -10.930438233385118, -69.83155567652884 -10.929337445796953, -69.83015972589241 -10.926585476826546, -69.83248631028644 -10.924383901650218, -69.83620884531689 -10.926035083032463, -69.83900074658972 -10.925484689238381, -69.84039669722613 -10.922732720267973, -69.84365391537777 -10.921631932679809, -69.85109898543865 -10.921631932679809, -69.85342556983268 -10.923833507856136, -69.85389088671148 -10.927135870620628, -69.8557521542267 -10.930438233385118, -69.85854405549954 -10.929337445796953, -69.85900937237834 -10.926585476826546, -69.86040532301476 -10.923833507856136, -69.86366254116639 -10.922732720267973, -69.86738507619684 -10.924383901650218, -69.87017697746967 -10.927135870620628, -69.87203824498488 -10.927686264414708, -69.8734341956213 -10.926035083032463, -69.87483014625772 -10.92218232647389, -69.87622609689413 -10.921081538885726, -69.88087926568218 -10.921631932679809, -69.88506711759143 -10.921081538885726, -69.88832433574306 -10.919980751297564, -69.89437345516754 -10.919430357503483, -69.89809599019797 -10.917228782327154, -69.900422574592 -10.917228782327154, -69.90181852522842 -10.9188799637094, -69.90414510962245 -10.919980751297564, -69.91065954592572 -10.919980751297564, -69.91438208095616 -10.921631932679809, -69.91577803159258 -10.923283114062055, -69.91531271471376 -10.927135870620628, -69.91670866535019 -10.929887839591036, -69.91950056662301 -10.930438233385118, -69.92229246789586 -10.928236658208789, -69.92136183413824 -10.922732720267973, -69.92368841853227 -10.920531145091646, -69.9264803198051 -10.920531145091646, -69.93206412235077 -10.9188799637094, -69.93904387553283 -10.923833507856136, -69.94555831183611 -10.92218232647389, -69.95253806501819 -10.925484689238381, -69.95114211438178 -10.929887839591036, -69.9534686987758 -10.933740596149608, -69.95486464941222 -10.93429098994369, -69.95672591692744 -10.930988627179199, -69.95998313507907 -10.932089414767361, -69.95905250132147 -10.93429098994369, -69.95579528316982 -10.935942171325934, -69.95672591692744 -10.93759335270818, -69.95951781820027 -10.936492565120016, -69.9618444025943 -10.936492565120016, -69.96649757138235 -10.939794927884506, -69.96789352201876 -10.942546896854916, -69.97254669080681 -10.945849259619406, -69.97533859207965 -10.945298865825325, -69.97719985959486 -10.943097290648996, -69.97859581023128 -10.939794927884506, -69.98045707774651 -10.939244534090424, -69.98185302838291 -10.942546896854916, -69.98231834526172 -10.945298865825325, -69.98138771150411 -10.950802803766141, -69.98278366214053 -10.951903591354306, -69.98464492965574 -10.951903591354306, -69.98790214780739 -10.950252409972059, -69.99115936595902 -10.946950047207569, -69.99348595035305 -10.948050834795733, -69.99395126723185 -10.950252409972059, -69.99302063347425 -10.95355477273655, -69.99534721786827 -10.95960910447145, -69.9981391191411 -10.961810679647776, -69.9990697528987 -10.958508316883286, -70.00046570353513 -10.957957923089204, -70.00279228792915 -10.960159498265531, -70.00558418920198 -10.961810679647776, -70.00977204111123 -10.964562648618186, -70.01442520989929 -10.96621383000043, -70.01768242805092 -10.967865011382676, -70.0255928149906 -10.970616980353086, -70.0339685188091 -10.967865011382676, -70.03582978632433 -10.969516192764921, -70.03769105383955 -10.973919343117576, -70.03955232135476 -10.974469736911658, -70.04327485638521 -10.973919343117576, -70.04560144077924 -10.977772099676148, -70.04839334205207 -10.980524068646556, -70.05351182771892 -10.982725643822883, -70.05630372899175 -10.984376825205128, -70.06281816529503 -10.983826431411046, -70.06281816529503 -10.985477612793293, -70.0614222146586 -10.9882295817637, -70.06328348217383 -10.989880763145946, -70.06654070032548 -10.989880763145946, -70.07119386911353 -10.986578400381454, -70.07584703790157 -10.985477612793293, -70.07863893917441 -10.986028006587373, -70.0781736222956 -10.982725643822883, -70.08096552356844 -10.98162485623472, -70.08329210796245 -10.986028006587373, -70.08561869235649 -10.986578400381454, -70.08934122738692 -10.984376825205128, -70.09259844553856 -10.986028006587373, -70.09259844553856 -10.993183125910436, -70.09445971305378 -10.994834307292681, -70.10004351559945 -10.996485488674928, -70.10190478311466 -10.996485488674928, -70.10283541687228 -10.994283913498599, -70.10050883247825 -10.990981550734109, -70.09725161432661 -10.992632732116355, -70.0958556636902 -10.989880763145946, -70.09818224808423 -10.9882295817637, -70.10376605062989 -10.989880763145946, -70.10516200126631 -10.990981550734109, -70.10655795190272 -10.995935094880846, -70.10562731814511 -10.999787851439418, -70.10562731814511 -11.00364060799799, -70.10795390253914 -11.005291789380234, -70.10934985317554 -11.004741395586151, -70.11074580381197 -11.000338245233499, -70.11446833884241 -11.001989426615744, -70.11632960635762 -11.00364060799799, -70.11493365572122 -11.005291789380234, -70.11632960635762 -11.007493364556561, -70.12051745826687 -11.008594152144724, -70.1237746764185 -11.01024533352697, -70.12610126081253 -11.012997302497379, -70.12796252832776 -11.016850059055951, -70.13028911272178 -11.019051634232278, -70.13261569711581 -11.020152421820441, -70.13726886590386 -11.020702815614523, -70.13866481654028 -11.021253209408606, -70.13913013341909 -11.024555572173096, -70.14192203469192 -11.026757147349421, -70.1484364709952 -11.027857934937586, -70.15308963978325 -11.031160297702076, -70.15495090729846 -11.030609903907994, -70.15727749169248 -11.032811479084323, -70.15681217481368 -11.036664235642894, -70.1586734423289 -11.038865810819221, -70.16100002672293 -11.038865810819221, -70.16286129423816 -11.036664235642894, -70.16425724487456 -11.036664235642894, -70.16658382926859 -11.038865810819221, -70.16937573054142 -11.038315417025139, -70.17123699805664 -11.038865810819221, -70.1763554837235 -11.038315417025139, -70.17775143435992 -11.041067385995548, -70.18891903945124 -11.043268961171876, -70.18891903945124 -11.046571323936366, -70.19078030696646 -11.047672111524529, -70.19310689136049 -11.048772899112691, -70.19682942639093 -11.049323292906774, -70.19915601078496 -11.050424080494938, -70.20427449645182 -11.049873686700856, -70.20753171460345 -11.048222505318611, -70.2107889327551 -11.048222505318611, -70.21404615090673 -11.048772899112691, -70.21869931969478 -11.054827230847593, -69.65752716385568 -11.94646517726002, -69.09263247298614 -12.837002336084286))"
49,HYDROCARBON EXPLORATION LIMITED,Lote 183,NA,NA,NA,Lote 183,"POLYGON ((-75.90580221245222 -6.42711621020827, -75.90394094493699 -6.428767391590517, -75.34556069037072 -6.857524157180196, -75.34556069037072 -7.003928906405941, -75.120347321029 -7.003928906405941, -75.120347321029 -6.978060398084098, -74.86581898832253 -6.978060398084098, -74.86581898832253 -6.825050923329373, -75.22039044997211 -6.825050923329373, -75.21992513309331 -6.195950816693937, -75.54378568074175 -6.195950816693937, -75.54378568074175 -6.4276666040023525, -75.90394094493699 -6.42711621020827, -75.90580221245222 -6.42711621020827))"
68,PETRO BAYOVAR INC. SUCURSAL DEL PERU,Lote XXVII,PIURA,SECHURA,SECHURA,Lote XXVII,"POLYGON ((-81.0014873522482 -5.835993275364476, -81.00474457039985 -5.835993275364476, -81.00800178855148 -5.832140518805904, -81.01172432358192 -5.831590125011822, -81.01358559109714 -5.8299389436295765, -81.01405090797594 -5.8282877622473315, -81.01684280924879 -5.8299389436295765, -81.02149597803682 -5.830489337423659, -81.0266144637037 -5.8282877622473315, -81.03080231561293 -5.824985399482841, -81.03405953376458 -5.823884611894677, -81.03871270255263 -5.820582249130187, -81.04243523758306 -5.8172798863656965, -81.04336587134068 -5.815078311189369, -81.04383118821949 -5.810675160836716, -81.04755372324992 -5.809023979454469, -81.05267220891677 -5.800217678749162, -81.05546411018962 -5.796915315984672, -81.05825601146245 -5.7952641346024265, -81.05872132834125 -5.793062559426099, -81.06477044776571 -5.788659409073446, -81.06709703215974 -5.788109015279364, -81.06849298279616 -5.785907440103037, -81.07128488406899 -5.785907440103037, -81.07314615158421 -5.788109015279364, -81.07547273597824 -5.788109015279364, -81.08012590476629 -5.789760196661609, -81.08431375667554 -5.794713740808344, -81.08477907355434 -5.796915315984672, -81.08338312291792 -5.800217678749162, -81.08291780603912 -5.8062720104840615, -81.08524439043315 -5.812326342218961, -81.08524439043315 -5.815628704983451, -81.08803629170598 -5.821132642924269, -81.0903628761 -5.822783824306514, -81.09315477737283 -5.824985399482841, -81.09222414361523 -5.826086187071004, -81.09455072800925 -5.833241306394067, -81.09734262928208 -5.838194850540802, -81.10246111494894 -5.843148394687539, -81.10711428373699 -5.844799576069784, -81.10990618500982 -5.844249182275702, -81.11269808628265 -5.8409468195112115, -81.1164206213131 -5.8409468195112115, -81.11828188882832 -5.842047607099374, -81.12246974073757 -5.842047607099374, -81.12340037449518 -5.843148394687539, -81.12293505761637 -5.845349969863866, -81.12433100825278 -5.854156270569174, -81.12665759264681 -5.857458633333664, -81.12758822640443 -5.860210602304072, -81.12851886016203 -5.864613752656727, -81.13363734582889 -5.871218478185707, -81.13829051461694 -5.877823203714689, -81.14433963404142 -5.882776747861424, -81.14759685219305 -5.887730292008159, -81.14945811970827 -5.889381473390404, -81.14852748595065 -5.893234229948977, -81.14573558467782 -5.898738167889794, -81.14480495092022 -5.903691712036531, -81.14527026779902 -5.9069940748010215, -81.14480495092022 -5.909195649977349, -81.14620090155663 -5.915800375506329, -81.14480495092022 -5.934513764505109, -81.14620090155663 -5.937265733475517, -81.14806216907185 -5.940017702445926, -81.14759685219305 -5.944971246592662, -81.14945811970827 -5.9477232155630695, -81.14899280282947 -5.9543279410920515, -81.14527026779902 -5.9653358169736865, -81.14527026779902 -5.970289361120422, -81.14573558467782 -5.9713901487085845, -81.14852748595065 -5.974142117678994, -81.14945811970827 -5.979646055619812, -81.14945811970827 -5.981297237002057, -81.1434090002838 -5.997258657030427, -81.142943683405 -6.000010626000837, -81.14015178213216 -6.006615351529817, -81.13689456398053 -6.013770470852879, -81.13177607831366 -6.022576771558187, -81.1252616420104 -6.030832678469414, -81.11921252258593 -6.0374374039983945, -81.1173512550707 -6.040189372968804, -81.1173512550707 -6.043491735733294, -81.11409403691907 -6.047894886085947, -81.11316340316147 -6.051197248850439, -81.11502467067668 -6.054499611614929, -81.11362872004027 -6.056701186791257, -81.11130213564624 -6.062205124732074, -81.10711428373699 -6.067158668878809, -81.09780794616088 -6.076515363378199, -81.09175882673642 -6.082019301319017, -81.08431375667554 -6.085872057877589, -81.0810565385239 -6.088624026847997, -81.07407678534182 -6.093027177200652, -81.06895829967496 -6.096329539965142, -81.06570108152333 -6.098531115141469, -81.05127625828037 -6.10843820343494, -81.04755372324992 -6.110639778611267, -81.0363861181586 -6.117244504140247, -81.0280104143401 -6.121647654492902, -81.01544685861236 -6.128252380021882, -80.95123312933724 -6.128252380021882, -80.95123312933724 -6.0374374039983945, -80.91121587776 -6.0374374039983945, -80.91121587776 -5.9306610079465365, -80.92750196851817 -5.9306610079465365, -80.92750196851817 -5.8976373803016315, -80.94053084112473 -5.8976373803016315, -80.94053084112473 -5.859109814715909, -80.91121587776 -5.859109814715909, -80.91121587776 -5.829388549835494, -80.92191816597251 -5.837094062952639, -80.92703665163937 -5.8392956381289665, -80.9298285529122 -5.840396425717129, -80.93727362297308 -5.843698788481619, -80.94332274239756 -5.845900363657947, -80.95402503061007 -5.846450757452029, -80.95867819939812 -5.845349969863866, -80.96053946691335 -5.843148394687539, -80.96379668506498 -5.843698788481619, -80.96751922009543 -5.844799576069784, -80.96984580448945 -5.843698788481619, -80.97031112136825 -5.841497213305294, -80.97636024079273 -5.838194850540802, -80.97915214206556 -5.838745244334884, -80.98706252900524 -5.838745244334884, -80.98892379652047 -5.838194850540802, -80.99078506403569 -5.835993275364476, -80.99031974715687 -5.834342093982231, -80.9921810146721 -5.832690912599984, -81.0014873522482 -5.835993275364476), (-81.00241798600582 -5.9020405306542845, -81.00241798600582 -6.0374374039983945, -81.09268946049403 -6.0374374039983945, -81.09268946049403 -5.9020405306542845, -81.00241798600582 -5.9020405306542845))"
69,MAPLE GAS CORPORATION DEL PERU S.R.L. EN LIQUIDACION,Lote 31-D,HUANUCO,PACHITEA,AGUA CALIENTE/NUEVA HONORIA,Lote 31-D,"POLYGON ((-74.68015755367925 -8.787755193024879, -74.76205332434897 -8.787755193024879, -74.76205332434897 -8.873616624901633, -74.68015755367925 -8.873616624901633, -74.68015755367925 -8.787755193024879))"
20,PETROLERA MONTERRICO S.A,Lote XX,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS/CANOAS,Lote XX,"POLYGON ((-81.00893242230909 -4.037306356305329, -80.92191816597251 -4.037306356305329, -80.92191816597251 -3.9921740651906266, -80.98938911339927 -3.9921740651906266, -80.99078506403569 -3.994375640366954, -80.9921810146721 -3.9982283969255263, -80.99450759906613 -4.004282728660424, -80.99776481721777 -4.010337060395324, -81.0000914016118 -4.017492179718387, -81.00241798600582 -4.0235465114532865, -81.00893242230909 -4.037306356305329))"
21,NOREX ENERGIA S.A.,Lote Z-45,NA,NA,NA,Lote Z-45,"POLYGON ((-80.70973366923734 -6.895501328971838, -80.70973366923734 -6.822849348153046, -80.69391289535795 -6.822849348153046, -80.69391289535795 -6.73863909765854, -80.69391289535795 -6.576823322198505, -80.83443859275714 -6.576823322198505, -80.83443859275714 -6.50582252276196, -80.90702802585075 -6.50582252276196, -80.90702802585075 -6.369324861829687, -81.0014873522482 -6.369324861829687, -81.0014873522482 -6.258695709219257, -81.18249561810345 -6.258695709219257, -81.18249561810345 -6.167880733195769, -81.18249561810345 -6.077616150966362, -81.21879033465025 -6.077616150966362, -81.21879033465025 -5.934513764505109, -81.21832501777143 -5.561897165911766, -81.32116004798739 -5.561897165911766, -81.32069473110859 -5.290553025429466, -81.32069473110859 -5.245420734314763, -81.3658304683527 -5.245420734314763, -81.3658304683527 -5.232761677050883, -81.6333876736657 -5.232761677050883, -81.65804946824238 -5.232761677050883, -81.65851478512118 -5.597672762527079, -81.65898010199999 -6.04239094814513, -81.47843715302356 -6.042941341939212, -81.47890246990237 -6.585629622903815, -81.29789420404714 -6.585629622903815, -81.29789420404714 -6.705065076219553, -81.29835952092594 -7.128317903868416, -81.1168859381919 -7.128317903868416, -81.1168859381919 -7.309397462121311, -80.93587767233667 -7.309397462121311, -80.93587767233667 -7.260962808242116, -80.93587767233667 -6.947788739409603, -80.76464106093634 -6.947788739409603, -80.76464106093634 -6.895501328971838, -80.70973366923734 -6.895501328971838))"
